time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-12-21T05:23:41.580Z,-5.564,152.0224,9.91,5.3,mww,,33,1.371,0.99,us,us2000ivrb,2018-12-21T16:51:32.040Z,"136km S of Kokopo, Papua New Guinea",earthquake,6.9,4.3,0.073,18,reviewed,us,us
2018-12-21T01:59:11.630Z,15.105,-94.0601,43.95,5,mb,,78,2.191,1.42,us,us2000ivq8,2018-12-21T02:23:03.040Z,"101km SW of Tres Picos, Mexico",earthquake,8,5.5,0.038,223,reviewed,us,us
2018-12-20T18:30:59.030Z,54.9095,164.647,10,5.1,mb,,72,4.014,0.78,us,us2000ivi9,2018-12-20T23:00:22.040Z,"91km WSW of Nikol'skoye, Russia",earthquake,9.2,1.8,0.037,243,reviewed,us,us
2018-12-20T17:35:10.360Z,54.8488,164.6917,10,5.6,mb,,30,4.011,0.95,us,us2000ivgx,2018-12-20T22:20:59.557Z,"91km WSW of Nikol'skoye, Russia",earthquake,7.9,1.7,0.031,366,reviewed,us,us
2018-12-20T17:19:29.640Z,55.0821,164.895,10,5.6,mb,,99,4.218,1,us,us2000ivge,2018-12-20T22:40:16.696Z,"71km W of Nikol'skoye, Russia",earthquake,8.4,1.8,0.033,315,reviewed,us,us
2018-12-20T17:01:55.150Z,55.0999,164.6993,16.56,7.3,mww,,23,4.126,0.79,us,us2000ivfw,2018-12-21T19:38:25.047Z,"83km W of Nikol'skoye, Russia",earthquake,7.9,2.9,0.025,155,reviewed,us,us
2018-12-20T11:08:11.680Z,39.1005,74.7699,8.01,5.1,mww,,54,2.332,1.04,us,us2000ivaw,2018-12-23T20:43:51.828Z,"105km E of Karakul, Tajikistan",earthquake,6.5,4.4,0.073,18,reviewed,us,us
2018-12-20T08:52:56.840Z,-19.3315,-63.9631,19.5,5,mb,,28,4.945,1.19,us,us2000ivae,2018-12-21T05:36:26.387Z,"35km E of Padilla, Bolivia",earthquake,7.2,4.4,0.047,146,reviewed,us,us
2018-12-20T02:04:26.760Z,-12.7229,169.9375,651.96,5.1,mb,,71,3.79,0.67,us,us2000iv7p,2018-12-20T02:19:55.040Z,"288km ENE of Sola, Vanuatu",earthquake,13.3,10.7,0.083,47,reviewed,us,us
2018-12-19T21:37:47.790Z,-6.0306,149.8654,31.68,5.8,mww,,13,2.929,1.11,us,us2000iv5f,2019-01-05T05:18:01.406Z,"40km ENE of Kandrian, Papua New Guinea",earthquake,6.3,2.2,0.058,29,reviewed,us,us
2018-12-19T11:25:08.810Z,-0.1539,124.38,58.41,5,mb,,50,1.834,0.81,us,us2000iv0l,2018-12-19T11:43:54.040Z,"74km SE of Molibagu, Indonesia",earthquake,7.2,6.5,0.062,82,reviewed,us,us
2018-12-19T03:38:38.490Z,30.5431,-41.8413,10,5.4,mb,,59,19.58,0.98,us,us2000iuyv,2018-12-19T16:38:34.040Z,"Northern Mid-Atlantic Ridge",earthquake,10.3,1.9,0.031,363,reviewed,us,us
2018-12-19T01:37:40.370Z,-36.1184,-101.0192,10,6.2,mww,,30,11.421,1.01,us,us2000iuya,2018-12-19T16:15:40.040Z,"Southeast of Easter Island",earthquake,10.4,1.9,0.073,18,reviewed,us,us
2018-12-18T20:38:34.680Z,-25.5579,-177.4786,146.2,5.1,mww,,50,3.694,0.98,us,us2000iuw4,2018-12-19T18:25:10.040Z,"South of the Fiji Islands",earthquake,9.1,4.2,0.069,20,reviewed,us,us
2018-12-18T05:27:48.520Z,-16.2556,167.8714,35,5,mb,,75,5.461,1.12,us,us2000iun0,2018-12-18T06:11:29.040Z,"50km ESE of Lakatoro, Vanuatu",earthquake,12.1,2,0.113,25,reviewed,us,us
2018-12-17T17:23:16.340Z,-5.7355,151.4198,28.39,5.2,mww,,37,1.703,0.84,us,us2000iugn,2018-12-17T22:20:41.040Z,"142km E of Kimbe, Papua New Guinea",earthquake,7.3,4.3,0.073,18,reviewed,us,us
2018-12-17T15:52:19.120Z,-21.8486,169.9425,15.9,5,mww,,78,3.255,0.98,us,us2000iufu,2018-12-31T16:58:50.040Z,"215km E of Tadine, New Caledonia",earthquake,9.9,3.8,0.08,15,reviewed,us,us
2018-12-17T11:14:23.820Z,-5.0344,152.3282,60.39,5.5,mb,,92,0.853,0.85,us,us2000iuei,2018-12-19T16:23:40.040Z,"75km S of Kokopo, Papua New Guinea",earthquake,7.4,7.4,0.085,48,reviewed,us,us
2018-12-16T16:15:43.450Z,-16.4053,168.2398,35,5,mb,,103,5.574,0.5,us,us2000iu5f,2018-12-30T19:18:13.040Z,"93km ESE of Lakatoro, Vanuatu",earthquake,13.1,1.9,0.1,32,reviewed,us,us
2018-12-16T14:26:19.620Z,-23.3226,112.4979,10,5.8,mww,,43,1.737,0.76,us,us2000iu4a,2018-12-30T16:56:36.801Z,"206km NW of Carnarvon, Australia",earthquake,6,1.7,0.051,37,reviewed,us,us
2018-12-16T13:01:20.930Z,-6.331,147.6706,69.98,5,mww,,23,3.095,0.99,us,us2000iu3z,2018-12-30T15:37:27.716Z,"37km NW of Finschhafen, Papua New Guinea",earthquake,7.1,2.5,0.073,18,reviewed,us,us
2018-12-16T09:48:20.950Z,-16.3403,168.1395,11.39,5.5,mww,,54,5.559,0.81,us,us2000iu3c,2019-01-04T14:16:23.801Z,"81km ESE of Lakatoro, Vanuatu",earthquake,9.2,3.8,0.063,24,reviewed,us,us
2018-12-16T09:42:37.200Z,-3.9226,140.2323,61.97,6.1,mww,,14,7.364,0.93,us,us2000iu2u,2019-01-04T14:25:11.845Z,"147km SSW of Abepura, Indonesia",earthquake,3,3.8,0.045,48,reviewed,us,us
2018-12-16T07:44:09.520Z,-16.5177,168.1483,48.61,5.2,mb,,60,5.432,1.36,us,us2000iu2i,2018-12-16T08:04:21.040Z,"89km ESE of Lakatoro, Vanuatu",earthquake,7.1,5.3,0.051,128,reviewed,us,us
2018-12-16T04:46:11.030Z,28.2635,104.9907,27.34,5.4,mww,,23,6.977,0.92,us,us2000iu11,2018-12-20T14:21:27.741Z,"24km WSW of Zhongcheng, China",earthquake,8.3,4.9,0.071,19,reviewed,us,us
2018-12-16T02:43:48.710Z,-16.3445,168.1292,48.07,5.2,mb,,63,5.55,1.02,us,us2000iu00,2018-12-16T03:02:41.040Z,"80km ESE of Lakatoro, Vanuatu",earthquake,9.5,6.2,0.074,60,reviewed,us,us
2018-12-15T21:21:03.830Z,23.7397,121.9836,19.09,5.1,mww,,54,0.559,0.77,us,us2000itxb,2018-12-28T04:50:30.818Z,"46km SE of Hualian, Taiwan",earthquake,5.3,3.4,0.071,19,reviewed,us,us
2018-12-15T20:21:54.830Z,-16.416,168.2201,11.08,5.4,mww,,63,5.553,0.88,us,us2000itwu,2019-01-04T06:08:45.482Z,"92km ESE of Lakatoro, Vanuatu",earthquake,8.3,3.5,0.046,45,reviewed,us,us
2018-12-15T09:42:13.820Z,-30.4856,-177.4929,10,5.1,mb,,76,1.293,0.86,us,us2000ittn,2018-12-15T10:02:15.040Z,"140km SSE of Raoul Island, New Zealand",earthquake,4.6,1.9,0.121,22,reviewed,us,us
2018-12-15T08:29:00.480Z,-21.8676,168.879,10,5,mb,,93,2.269,1.04,us,us2000ittb,2019-01-02T08:05:54.040Z,"108km ESE of Tadine, New Caledonia",earthquake,8.7,1.9,0.087,42,reviewed,us,us
2018-12-14T19:27:26.690Z,-0.0362,122.9699,148.82,5.2,mww,,27,1.018,0.97,us,us2000itp1,2018-12-15T17:00:43.040Z,"53km SSW of Bilungala, Indonesia",earthquake,5.8,3.7,0.071,19,reviewed,us,us
2018-12-14T16:02:11.000Z,26.3129,140.7072,468.81,5.2,mww,,54,1.534,0.81,us,us2000itlf,2018-12-14T16:20:25.040Z,"172km WSW of Chichi-shima, Japan",earthquake,10.2,6.5,0.065,23,reviewed,us,us
2018-12-14T06:17:30.040Z,57.4109,-33.1558,10,5,mb,,51,7.315,0.51,us,us2000itht,2019-01-01T08:51:53.040Z,"Reykjanes Ridge",earthquake,8.7,1.8,0.048,140,reviewed,us,us
